Aditi jain,aditi.jain@sproxil.com,9873123456,Grade B
Ankita sharma,ankita.anku96@gmail.com,9988789656,Grade B
anusha pariti,anusha.pariti@gmail.com,8105987404,Grade B
Ashish Singh,ashish.singh@gmail.com,9876890463,Grade A
Bhaskar maheshwari,bhaskar.mah@gmail.com,9801834992,Grade A
Deepa sudhakar,sudhakar.deepa@gmail.com,7896785432,Grade B
Garima yadav,garima0191@gmail.com,81059237004,Grade B
Harish sahai,harish294all@gmail.com,9876548763,Grade A
Kamal gera,kamal0094@gmail.com,8105987404,Grade C
Karan Singh,karan.singh@gmail.com,8976665768,Grade B
Manisha Yadav,maniyadav88@gmail.com,9867845182,Grade A
Mitali gupta,mitali.gupta80@gmail.com,8796751238,Grade A
Prabhjot gill,prabhjotgill09@gmail.com,9800786688,Grade B
Rajan pandey,raajanpandey@gmail.com,8987647811,Grade C
Roosena manuel,roseenasimimanuel@gmail.com,9875623345,Grade A
Shivani godha,shivani_go@nid.edu,9878673428,Grade C
Shivshankar das,sankar.shiva730@gmail.com,9801834992,Grade B
Tanvi mann,tanvi.mann1907@gmail.com,9178352769,Grade B
Tushar kapoor,tushar.kapoor21@gmail.com,8926537154,Grade C
Umang parejiya,uparejiya@gmail.com,7896543674,Grade A
